,subject,diet,cas_1,cas_2,cas_3,cas_4,cas_5,malt_1,malt_2,malt_3,malt_4,malt_5
0,1,NR,22.121019108280255,27.375,29.26086956521739,11.290322580645162,21.372881355932204,22.160493827160494,33.596774193548384,49.06382978723404,41.89655172413793,30.78205128205128
1,2,NR,16.721854304635762,14.602941176470589,24.821428571428573,28.690821256038646,62.08695652173913,22.65811965811966,7.75,22.4070796460177,8.483870967741936,54.166666666666664
2,3,NR,18.79310344827586,32.80952380952381,25.74,17.789473684210527,30.783783783783782,21.142857142857142,10.027027027027026,15.17142857142857,49.87850467289719,9.216216216216216
3,4,NR,12.261904761904763,34.51219512195122,34.3421052631579,40.06666666666667,18.58823529411765,28.80188679245283,11.576923076923077,28.56923076923077,11.017241379310345,15.027027027027026
4,5,NR,16.675,21.913978494623656,31.921875,21.0,36.83870967741935,14.135593220338983,9.555555555555555,14.444444444444445,32.683673469387756,11.818181818181818
5,6,NR,13.81060606060606,29.053763440860216,37.5959595959596,44.82608695652174,42.13913043478261,14.375,15.571428571428571,56.19230769230769,51.6578947368421,111.875
6,7,NR,19.941176470588236,27.333333333333332,9.8,15.8,42.75,32.4375,33.01111111111111,34.45977011494253,41.6530612244898,58.95652173913044
7,8,NR,15.5,75.33928571428571,120.61538461538461,60.90909090909091,58.22222222222222,47.56962025316456,9.227272727272727,15.851063829787234,19.90909090909091,27.988636363636363
8,9,NR,21.633333333333333,18.605263157894736,61.8780487804878,13.430769230769231,110.79411764705883,13.052631578947368,11.291666666666666,12.038461538461538,10.32183908045977,51.515625
9,10,NR,28.269662921348313,41.092592592592595,12.813953488372093,80.20408163265306,55.46666666666667,12.195652173913043,27.08,77.5,40.765957446808514,14.257142857142858
10,11,NR,15.555555555555555,54.09090909090909,53.125,74.23333333333333,56.458333333333336,49.40816326530612,8.2,8.321428571428571,32.75,11.222222222222221
11,12,NR,9.566666666666666,15.414285714285715,13.393939393939394,8.94915254237288,12.975609756097562,9.470588235294118,12.555555555555555,16.725490196078432,19.63095238095238,11.48
12,13,NR,32.83673469387755,32.578947368421055,40.688311688311686,28.83248730964467,18.67283950617284,15.454545454545455,13.382352941176471,19.009345794392523,10.133333333333333,16.745098039215687
13,14,NR,9.333333333333334,12.7,23.1,30.357894736842105,14.984848484848484,12.928571428571429,20.089285714285715,28.58,11.0,19.263157894736842
14,15,PR,8.461538461538462,50.905660377358494,134.57575757575756,88.02564102564102,11.811111111111112,8.941176470588236,10.4,34.57142857142857,4.0,28.11764705882353
15,16,PR,22.220264317180618,17.287128712871286,15.563025210084033,82.35238095238095,79.07692307692308,31.891304347826086,14.0,21.142857142857142,23.70967741935484,34.5
16,17,PR,80.08823529411765,95.8157894736842,92.33823529411765,8.44,120.27027027027027,19.5,0.0,0.0,78.35185185185185,5.5
17,18,PR,49.654545454545456,18.425,12.353474320241691,25.03112840466926,55.95744680851064,21.863636363636363,20.166666666666668,128.66666666666666,17.346153846153847,0.0
18,19,PR,40.97222222222222,73.52586206896552,15.43918918918919,61.44897959183673,88.47169811320755,21.6,13.142857142857142,15.606060606060606,18.0,81.58333333333333
19,20,PR,32.2,53.43877551020408,55.873873873873876,13.10909090909091,90.83132530120481,19.933333333333334,21.8,37.76,76.95833333333333,0.0
20,21,PR,19.511627906976745,31.13131313131313,31.055555555555557,89.35555555555555,82.40350877192982,26.35483870967742,18.482758620689655,18.90566037735849,14.666666666666666,19.375
21,22,PR,5.425,8.402843601895734,19.57471264367816,37.55813953488372,9.701754385964913,8.070422535211268,12.5,12.5625,23.09090909090909,16.0
22,23,PR,28.509090909090908,9.666666666666666,10.721153846153847,13.13915857605178,14.433070866141732,14.128205128205128,13.06,7.7,10.619047619047619,14.67741935483871
23,24,PR,32.666666666666664,65.375,96.68518518518519,69.83823529411765,30.734939759036145,10.6,9.156862745098039,7.0,7.578313253012048,10.93452380952381
24,25,PR,10.564705882352941,31.10483870967742,22.3215859030837,32.53846153846154,10.688172043010752,7.181818181818182,10.0,8.529411764705882,11.153846153846153,10.37037037037037
25,26,PR,22.8,40.266666666666666,55.083333333333336,23.674479166666668,47.93382352941177,12.383116883116884,10.333333333333334,25.5,9.685714285714285,28.571428571428573
26,27,PR,6.983050847457627,23.377777777777776,11.36231884057971,8.666666666666666,9.337078651685394,10.285714285714286,17.58695652173913,8.24390243902439,48.34567901234568,9.98076923076923
27,28,PR,15.96111111111111,60.31506849315068,39.15126050420168,13.952380952380953,46.467980295566505,32.450450450450454,9.777777777777779,8.625,92.34042553191489,7.2926829268292686
